u,v,key,betweenness
49716879,1107060284,0,9.947209957809705e-09
49716879,49762182,0,3.3621569657396802e-06
49716879,49781276,0,1.3329261343465003e-06
49716887,49716879,0,0.0
49716887,49762182,0,0.0
49716899,739515930,0,3.4815234852333965e-06
49716899,49779907,0,8.453139022146687e-05
49716899,49741730,0,8.873906003362037e-05
49716912,10154670182,0,0.0
49716912,49893410,0,1.3030845044730713e-06
49716912,49890197,0,6.604947411985644e-06
49716928,10154670182,0,5.769381775529628e-07
49716928,13259893926,0,4.6284367933688555e-05
49716932,1460627779,0,5.7335718196815136e-05
49716932,49716936,0,1.577627499308619e-05
49716932,49827240,0,9.50157495169983e-05
49716936,49716938,0,1.2682692696207373e-05
49716936,49716932,0,8.887832097302972e-05
49716936,1460627779,0,6.992888600340222e-06
49716938,10020947573,0,9.350377360341123e-06
49716938,49716936,0,9.625915076172452e-05
49716938,49751297,0,8.156712165403958e-07
49716962,10020947573,0,2.9742157773851016e-06
49716962,49717014,0,3.978883983123882e-08
49716962,10020947582,0,1.98844727056616e-05
49716962,49767368,0,7.42061862852604e-06
49717014,49716962,0,3.391998595613109e-06
49717014,49717288,0,9.947209957809705e-09
49717014,7263569661,0,9.668688078991033e-05
49717030,49775807,0,0.0
49717030,49775807,1,0.0004841307086465983
49717030,49717073,0,9.017145826754497e-05
49717073,49738746,0,0.0
49717073,49840959,0,8.687893177150996e-05
49717073,49717030,0,0.0004843097584258389
49717226,49745129,0,0.00018587356527163213
49717226,49837997,0,4.498128342921548e-05
49717226,49726537,0,5.04323544860952e-06
49717245,49717262,0,2.348536271038871e-05
49717245,49749165,0,1.3926093940933585e-07
49717245,49782585,0,0.0
49717262,49774120,0,4.6632520282211895e-05
49717288,49717014,0,5.172549178061047e-07
49717288,49801795,0,4.38671959139408e-06
49717370,11065795777,0,9.549321559497317e-07
49717370,49741728,0,1.2931372945152617e-07
49717370,49779907,0,0.00020415653717408637
49717383,49846341,0,1.4920814936714556e-07
49717383,49804041,0,1.8074080493340234e-05
49717396,646190836,0,7.957767966247764e-08
49717396,49785838,0,1.989441991561941e-08
49717396,49759381,0,2.8697700728280996e-05
49717396,49785819,0,1.0026787637472183e-05
49717397,49717411,0,3.903285187444528e-05
49717397,644537712,0,8.12687053553053e-06
49717411,644537712,0,0.0004718956403984924
49717411,49717416,0,1.1240347252324966e-05
49717411,1458420676,0,0.000493819291145505
49717416,644537712,0,9.947209957809704e-08
49717416,49825427,0,9.658740869033223e-06
49717477,641116257,0,0.00014787522323279906
49717477,1381210497,0,4.554827439681064e-05
49717490,49727637,0,0.0
49717490,49728917,0,0.0
49717595,49717599,0,8.269115637927208e-05
49717595,49886008,0,3.305457868980165e-05
49717595,49743851,0,9.350377360341123e-07
49717595,49744267,0,2.1674970498067346e-05
49717599,49743851,0,7.749871278129541e-05
49717599,49743847,0,0.00014904899400782062
49717600,49717606,0,0.0
49717600,2366344966,0,1.511975913587075e-06
49717600,49872646,0,0.0
49717606,49717600,0,3.1831071864991055e-07
49717606,49817702,0,0.0
49717606,49872646,0,1.999389201519751e-06
49717612,49791583,0,7.694166902365807e-05
49717612,3005713074,0,3.9848523090985676e-05
49717801,622721609,0,0.0008533214062307055
49717859,49717871,0,0.0
49717859,49824935,0,5.341651747343811e-06
49717859,1013396673,0,0.0
49717871,49717859,0,0.0
49717871,49772790,0,2.8200340230390513e-05
49717871,49772772,0,3.580995584811494e-07
49717919,49762645,0,0.0
49717919,49778991,0,2.061061903258171e-05
49717954,5356541562,0,3.4815234852333965e-06
49717954,3744956565,0,6.20009596670279e-05
49717954,49749374,0,2.566380169114904e-06
49717965,49804664,0,2.1088085110556574e-06
49717965,49795383,0,0.00012939330713118864
49717965,49717969,0,0.0002543998946709832
49717969,49839912,0,9.618952029201984e-06
49717969,49742352,0,1.0852406063970387e-05
49717969,49768670,0,0.0002594232356996771
49717969,49717965,0,0.00013233768127870031
49717971,49823952,0,3.898311582465623e-05
49717971,49785326,0,1.7904977924057469e-06
49717975,638789503,0,4.63241567735198e-05
49717975,49718509,0,7.8722219606106e-05
49717981,49718509,0,0.00011919741692443369
49717981,49717975,0,3.918206002381242e-05
49718001,49718011,0,0.0
49718011,49720114,0,0.0002826599181611206
49718011,49718001,0,3.4815234852333965e-06
49718011,3277475100,0,0.0001689235195035244
49718038,49756984,0,5.968325974685823e-08
49718038,1443726997,0,1.989441991561941e-08
49718049,13687163070,0,2.086924649148476e-05
49718049,49732075,0,0.0
49718049,49732057,0,2.6061690089461425e-06
49718144,2896020728,0,6.953099760508983e-06
49718144,49848487,0,0.0
49718391,4635667843,0,7.663330551496597e-05
49718391,971094838,0,0.00015851873788765545
49718409,650017980,0,4.5757165805924643e-07
49718409,49797437,0,2.188386190718135e-07
49718409,650017990,0,2.516644119325855e-06
49718410,49718413,0,1.1041403053168773e-06
49718410,49881897,0,8.693861503125682e-06
49718413,49759164,0,9.080807970484479e-05
49718413,49759155,0,7.295283783057638e-05
49718509,49723816,0,0.0001944381130453063
49718701,49759867,0,0.00020441516463298942
49718707,49847101,0,7.331093738905753e-06
49718707,49718716,0,0.0
49718707,49763799,0,0.0
49718716,49734631,0,1.5418175434605042e-05
49718716,49718707,0,9.290694100594264e-06
49718716,49783006,0,4.466297271056557e-06
49718775,49743898,0,1.959600361688512e-05
49718775,49755322,0,6.455739262618499e-06
49718775,49743902,0,2.0361938783636464e-05
49718776,49764904,0,4.5757165805924643e-07
49718776,49750169,0,1.989441991561941e-08
49718776,49764911,0,1.1041403053168773e-06
49718798,49752086,0,0.0
49718798,49829439,0,1.9695475716463215e-06
49718798,49749030,0,7.659351667513473e-06
49718798,49744292,0,0.0
49718816,49760803,0,3.405924689554043e-05
49718816,49750009,0,8.684909014163653e-05
49718816,49745918,0,0.00014197652772781792
49718816,49749954,0,1.717883159713736e-05
49718864,49718877,0,9.969093819716886e-05
49718864,49751308,0,4.774660779748658e-07
49718864,5925999732,0,3.4715762752755868e-06
49718877,49718864,0,8.256184264982055e-07
49718877,49751316,0,1.5020287036292655e-06
49718877,49801791,0,0.00010211805742687443
49718877,4509426901,0,1.4323982339245975e-06
49718911,49718928,0,8.413350182315448e-05
49718911,49788093,0,3.4377557614190336e-05
49718928,5563919657,0,8.992277801859972e-05
49718928,5564258806,0,0.0005315391113055194
49719230,11569332801,0,0.0005146984848469476
49719230,646031463,0,0.0003648835556723756
49719235,646031300,0,0.00023754932100245355
49719235,49719230,0,0.0005099138768572411
49719266,9587901829,0,0.00041989162673906324
49719266,49719235,0,0.0002806605289596008
49719320,49719321,0,6.26276338943699e-05
49719320,49719436,0,5.908642714938964e-06
49719320,49744564,0,6.74420835139498e-06
49719320,49719435,0,1.7964661183804328e-05
49719321,49719436,0,1.7706033724901273e-06
49719321,49823847,0,6.0001570465508135e-05
49719415,706911255,0,8.156712165403958e-06
49719415,1362307924,0,2.7116094344989255e-05
49719415,49839650,0,4.3240521686598786e-05
49719416,49719422,0,0.00030552855385412506
49719416,49797678,0,0.00043299210225349863
49719422,49719425,0,0.0003047526714774159
49719425,49837635,0,2.9871471503302543e-05
49719425,1379471105,0,0.0009890112972651877
49719425,11198440879,0,0.0005266649784261926
49719428,49719434,0,0.0
49719428,49745395,0,1.2344487557641843e-05
49719434,49719428,0,4.973604978904853e-07
49719434,49790545,0,1.9586056406927308e-05
49719434,49790538,0,1.0514200925404857e-05
49719435,2748976055,0,1.6144321761525152e-05
49719435,49719321,0,2.626063428861762e-06
49719436,49719320,0,3.5809955848114937e-06
49719436,49719438,0,2.884690887764814e-06
49719436,49823835,0,2.2281750305493737e-06
49719438,642486350,0,0.00013483443097811056
49719440,49889089,0,0.0
49719440,49836761,0,0.0
49719440,3577477866,0,8.08708169569929e-06
49719533,49768161,0,2.2669691493848316e-05
49719539,49719533,0,4.7149775200018e-06
49719539,49825505,0,6.774049981268409e-05
49719539,49772864,0,3.978883983123882e-08
49719562,49730008,0,1.2523537336882417e-05
49719562,3010525207,0,0.0
49719706,49719725,0,1.6930151348192116e-05
49719706,13607253872,0,5.5405959465000055e-06
49719725,13607253872,0,0.0
49719725,49791888,0,1.3448627862958721e-05
49719895,49771208,0,3.2766109601025166e-05
49719895,4561710230,0,3.481523485233397e-05
49719902,49719895,0,4.01867282295512e-06
49719902,4561710230,0,0.00013574957429422904
49719902,49770715,0,8.099018347648662e-05
49719904,49867065,0,0.0
49719904,49727773,0,1.880022682026034e-06
49719904,49815167,0,6.455739262618498e-05
49719921,49719904,0,2.3475415500430904e-06
49719921,49727773,0,1.2235068248105936e-06
49720010,646229618,0,0.0009650882573166553
49720045,49761684,0,0.000249704811570897
49720045,49820820,0,0.00022360333264160435
49720056,49720045,0,4.774660779748658e-07
49720056,49761684,0,0.0003742239858227589
49720056,49761678,0,0.0004597401498300489
49720114,49718011,0,0.00017570751669475061
49720114,49743069,0,0.00028257039327150027
49720124,49755803,0,0.00028356511426728124
49720124,49755795,0,0.0003142224153572508
49720155,642421191,0,0.00032413978368518704
49720155,49849857,0,4.091287455647131e-05
49720215,641119742,0,0.0007724108004338814
49720215,640965915,0,4.719951124980705e-05
49720239,49720271,0,3.3820513856552997e-07
49720239,2616277023,0,1.919811521857273e-06
49720239,49720292,0,8.75354476287254e-07
49720271,49720239,0,4.38671959139408e-06
49720271,3372235101,0,0.00013515274169676047
49720271,49720292,0,2.6061690089461425e-06
49720271,49808183,0,0.00011316940769000101
49720292,49796605,0,0.0
49720292,49720239,0,0.0
49720292,49720271,0,0.0
49720491,49720530,0,0.0
49720491,49720554,0,2.088914091140038e-05
49720491,49726708,0,0.0
49720530,49720554,0,0.0
49720530,49720491,0,0.0
49720530,49726646,0,3.4815234852333965e-06
49720554,49736290,0,1.044457045570019e-05
49720554,49720491,0,0.0
49720554,49720530,0,6.963046970466793e-06
49720590,3006085744,0,0.0
49720590,49796842,0,8.853016862450638e-06
49720590,3006085743,0,1.746730068591384e-05
49720590,642436243,0,5.819117825318677e-06
49720612,9389447759,0,5.172549178061047e-07
49720612,1488022912,0,0.0
49720612,7930223077,0,6.226953433588875e-06
49720844,647058100,0,8.08708169569929e-06
49720844,647081858,0,2.765324368271098e-06
49720844,4536989497,0,3.4815234852333965e-06
49721137,10985284889,0,0.0
49721137,49733957,0,0.0
49721137,49766077,0,2.3296365721190327e-05
49721251,49721252,0,6.623847110905483e-05
49721251,49772315,0,0.0
49721252,2456351055,0,2.2878582902962322e-06
49721252,49721268,0,6.0469089333525196e-05
49721268,2456351023,0,6.197111803715447e-05
49721268,2456351055,0,3.8993063034614045e-05
49721277,49850735,0,0.00014007661062587627
49721277,49789467,0,0.0002394492381043952
49721281,49721292,0,3.954015958229358e-05
49721281,49741023,0,1.9337376157982066e-05
49721292,2377417311,0,5.709698515782771e-06
49721292,647594354,0,3.901295745452966e-05
49721610,638915905,0,7.629510037640043e-06
49721610,49732368,0,2.4370664396633777e-05
49721699,49762510,0,7.693172181370025e-05
49721699,49723981,0,4.920884766128461e-05
49721760,49721776,0,9.08180269148026e-05
49721760,49767789,0,0.0
49721776,639446418,0,0.00012530500383852884
49722130,49807307,0,4.001762566026844e-05
49722130,1484266510,0,9.522464092611231e-05
49722137,649839123,0,4.277300281858173e-07
49722137,49739655,0,1.1011561423295344e-05
49722137,1484266510,0,9.847737858231608e-07
49722409,642334066,0,2.4778500004903975e-05
49722409,49764904,0,1.5816063832917431e-06
49722419,49722433,0,0.0
49722433,49722419,0,3.4815234852333965e-06
