osmid,lon,lat,geoid,pop_density_km2
49758454,-77.01119330000002,38.8935788,11001005900,3743.4
49758476,-77.0170863,38.89480900000001,11001005900,3743.4
49758493,-76.992635,38.94233100000002,11001009504,2939.8
49758503,-76.990237,38.942332,11001009504,2939.8
49758504,-77.00587,38.942167,11001009510,5690.3
49758509,-77.00438,38.942164,11001009510,5690.3
49758513,-77.0388546,38.9145473,11001004201,15764.6
49758528,-77.0416615,38.9148396,11001004201,15764.6
49758532,-77.0434256,38.91483719999999,11001004202,12585.1
49758541,-77.03452700000001,38.9148386,11001004300,18536.3
49758546,-77.0365136,38.9148413,11001004201,15764.6
49758552,-77.0384759,38.914947799999986,11001004201,15764.6
49758554,-76.9902446,38.8868139,11001006700,9175.4
49758559,-76.9883146,38.88681149999999,11001006700,9175.4
49758562,-77.100985,38.92597099999999,11001000902,981.5
49758634,-77.10045,38.928368,11001000902,981.5
49758645,-77.100123,38.928768,11001000902,981.5
49758656,-76.9391794,38.90148739999999,11001007809,5855.7
49758660,-76.937589,38.90148669999999,11001007809,5855.7
49758666,-76.9365789,38.90148629999999,11001007809,5855.7
49758672,-76.934696,38.901485399999984,11001007809,5855.7
49758675,-76.9337683,38.901485,11001007809,5855.7
49758677,-76.9327124,38.901484499999995,11001007809,5855.7
49758684,-76.9316801,38.901484,11001007809,5855.7
49758696,-76.93076000000002,38.90154199999999,11001007809,5855.7
49758722,-76.927615,38.90183499999999,11001007809,5855.7
49758726,-76.92664,38.901834,11001007809,5855.7
49758738,-76.925628,38.90183799999999,11001007809,5855.7
49758746,-76.9244825,38.901648600000016,11001007809,5855.7
49758776,-76.9221589,38.900975999999986,11001007807,4738.9
49758841,-76.945087,38.90156079999999,11001009602,4023.6
49758843,-76.921153,38.90018999999999,11001007807,4738.9
49758860,-76.9189678,38.89836879999999,11001007807,4738.9
49758919,-76.9871074,38.858859899999985,11001007407,5597.7
49759000,-77.0677093,38.9430167,11001001200,3864.4
49759002,-77.06770980000002,38.94310079999999,11001001200,3864.4
49759039,-76.9765625,38.890027800000006,11001008002,5676.3
49759070,-76.9740714,38.88945100000001,11001006804,1061.0
49759074,-76.9738302,38.88939309999999,11001006804,1061.0
49759080,-76.9915272,38.88924899999998,11001008002,5676.3
49759085,-76.9902414,38.8892493,11001008002,5676.3
49759090,-76.98890360000001,38.88924960000001,11001008002,5676.3
49759091,-76.9883153,38.8892506,11001006700,9175.4
49759112,-77.0462801,38.91599040000001,11001004002,16899.8
49759124,-77.0485623,38.91516309999999,11001004100,2968.9
49759133,-77.0084482,38.957660700000005,11001009505,4265.8
49759135,-77.0082748,38.95789269999998,11001009505,4265.8
49759140,-77.0076601,38.958726499999976,11001009505,4265.8
49759155,-77.0057725,38.9612727,11001009505,4265.8
49759164,-77.0052228,38.96201179999999,11001009505,4265.8
49759170,-77.0047125,38.96269819999999,11001009505,4265.8
49759178,-77.0029398,38.9650822,11001009505,4265.8
49759273,-76.963133,38.86563299999999,11001007604,2729.6
49759276,-76.9631363,38.86457200000001,11001007604,2729.6
49759285,-76.9631415,38.862885,11001007604,2729.6
49759294,-76.963107,38.88023399999998,11001007709,2756.0
49759299,-76.963117,38.87876300000001,11001007709,2756.0
49759318,-76.9629484,38.877363399999986,11001007709,2756.0
49759320,-76.9625623,38.85728919999999,11001007603,3490.4
49759322,-76.9625302,38.85641319999999,11001007603,3490.4
49759326,-76.9624925,38.855382799999994,11001007603,3490.4
49759333,-76.96259,38.871149,11001009901,1002.4
49759336,-76.963089,38.87039899999998,11001007604,2729.6
49759338,-77.030525,38.985454999999995,11001001600,1895.6
49759381,-76.967771,38.872935000000005,11001007709,2756.0
49759384,-76.966422,38.872933,11001007709,2756.0
49759391,-76.964768,38.872935000000005,11001009901,1002.4
49759427,-76.9607351,38.872150999999995,11001009901,1002.4
49759499,-77.0058961,38.872983,11001007201,2605.7
49759500,-77.0047586,38.87298509999999,11001007201,2605.7
49759502,-76.95148,38.873248999999994,11001009901,1002.4
49759518,-76.9497213,38.87331970000002,11001009901,1002.4
49759543,-76.96756750000002,38.86554980000001,11001007604,2729.6
49759627,-76.964799,38.865632000000005,11001007604,2729.6
49759633,-76.962303,38.86562870000001,11001007604,2729.6
49759634,-76.96048000000002,38.865630999999986,11001007604,2729.6
49759635,-76.959693,38.86563000000001,11001007604,2729.6
49759643,-77.0191922,38.93424419999998,11001003200,9225.6
49759650,-77.020799,38.933983999999995,11001003200,9225.6
49759656,-77.021909,38.93380199999999,11001003200,9225.6
49759660,-77.0220625,38.93395359999999,11001003200,9225.6
49759674,-77.023916,38.933798999999986,11001003200,9225.6
49759678,-77.0238995,38.933653699999994,11001003100,11890.5
49759734,-76.944022,38.879466,11001007707,5155.6
49759766,-77.028931,38.96270269999998,11001001804,9021.2
49759769,-77.035767,38.946127999999995,11001002501,5263.1
49759788,-77.035275,38.94900600000001,11001002002,4834.6
49759798,-77.0351073,38.949737999999996,11001002002,4834.6
49759823,-77.0296813,38.965068099999996,11001001804,9021.2
49759828,-77.028749,38.96614040000001,11001001804,9021.2
49759844,-77.027477,38.96753499999999,11001001901,5955.3
49759867,-77.0260058,38.968625900000006,11001001901,5955.3
49759881,-77.025364,38.969931100000004,11001001901,5955.3
49759886,-77.0247596,38.9706977,11001001702,3606.2
49759907,-77.022766,38.97360900000001,11001001702,3606.2
49759916,-77.02209200000001,38.974353999999984,11001001702,3606.2
49759918,-77.021768,38.974815,11001001702,3606.2
49759921,-77.021469,38.97523799999999,11001001702,3606.2
49759926,-77.021065,38.97580599999999,11001001702,3606.2
49759930,-77.020544,38.976527999999995,11001001702,3606.2
49759949,-77.0196725,38.9776237,11001001702,3606.2
49759974,-76.999252,38.83205900000001,11001009802,10526.8
49759988,-76.994637,38.83199,11001009802,10526.8
49760029,-76.9913696,38.832704,11001009802,10526.8
49760054,-77.00343830000001,38.8321186,11001009803,5408.0
49760126,-77.0532246,38.933484199999995,11001001304,5698.4
49760266,-77.0604696,38.93029260000001,11001000502,5930.0
49760268,-77.061027,38.9302441,11001000502,5930.0
49760280,-77.06224,38.93010399999999,11001000502,5930.0
49760283,-77.062737,38.93030099999999,11001000502,5930.0
49760297,-77.063257,38.930267,11001000502,5930.0
49760309,-77.045406,38.9331777,11001002702,11473.8
49760312,-77.0465196,38.93275,11001002702,11473.8
49760329,-76.9816819,38.8786585,11001007100,4634.0
49760333,-76.981576,38.87883480000001,11001007100,4634.0
49760346,-76.9812755,38.87917029999999,11001006802,8083.4
49760348,-76.9810516,38.87921630000001,11001006802,8083.4
49760355,-76.98075640000002,38.87925509999999,11001006804,1061.0
49760367,-76.9849674,38.88023119999998,11001006900,7310.4
49760376,-76.9848957,38.880464700000005,11001006900,7310.4
49760380,-76.9849905,38.88057319999999,11001006900,7310.4
49760402,-76.9340687,38.896209,11001007804,4831.5
49760408,-76.933251,38.896209,11001007804,4831.5
49760413,-76.9321255,38.89623539999999,11001007804,4831.5
49760432,-76.92987,38.896236,11001007804,4831.5
49760465,-76.928326,38.895921,11001007804,4831.5
49760487,-76.927924,38.894979,11001007804,4831.5
49760523,-76.926339,38.896435999999994,11001007808,4346.3
49760543,-76.967919,38.857960000000006,11001007502,7711.5
49760550,-76.967356,38.85706799999999,11001007502,7711.5
49760552,-76.967265,38.856933999999995,11001007502,7711.5
49760649,-76.9773563,38.87303539999999,11001007601,3937.9
49760669,-76.975936,38.87206299999999,11001007601,3937.9
49760709,-76.9740511,38.87075219999999,11001007601,3937.9
49760719,-76.972153,38.86948689999999,11001007601,3937.9
49760727,-76.9706805,38.868258,11001007604,2729.6
49760742,-76.970237,38.867279999999994,11001007604,2729.6
49760758,-76.9701932,38.86638580000001,11001007604,2729.6
49760803,-76.9707851,38.8642293,11001007605,8359.2
49760879,-77.106544,38.928349999999995,11001000902,981.5
49760895,-77.108009,38.927442999999975,11001000902,981.5
49760904,-77.108815,38.92694,11001000902,981.5
49760907,-76.99202400000001,38.95593599999997,11001009508,4063.9
49760915,-76.99024500000002,38.895435000000006,11001008001,9474.4
49760920,-76.98831,38.89543800000001,11001008001,9474.4
49760923,-76.9394725,38.90351849999999,11001007806,3516.7
49760941,-76.9364437,38.90370829999996,11001007806,3516.7
49760955,-76.934599,38.90362300000001,11001007806,3516.7
49760958,-76.9337655,38.903624999999984,11001007806,3516.7
49761120,-77.058066,38.95671200000001,11001001301,1375.9
49761250,-77.056201,38.961013,11001001301,1375.9
49761256,-77.0561913,38.963106,11001001500,1189.4
49761291,-77.055992,38.96749599999999,11001001500,1189.4
49761339,-77.056241,38.969563499999985,11001001500,1189.4
49761355,-77.055803,38.906880599999994,11001000101,5760.5
49761364,-77.05581970000001,38.907714299999995,11001000101,5760.5
49761370,-77.0558363,38.9085467,11001000101,5760.5
49761375,-77.0558272,38.908989,11001000101,5760.5
49761382,-77.0556164,38.9093745,11001000101,5760.5
49761391,-77.0549495,38.910590099999986,11001000102,1374.8
