u,v,key,aadt
49741274,3672563449,0,7516.0
49741287,49856163,0,17564.0
49741337,642817438,0,36570.0
49741378,49820583,0,17681.0
49741471,49756921,0,7166.0
49741647,49741652,0,5244.0
49741647,49748779,0,28644.0
49741663,10292519072,0,6659.0
49741673,3007959508,0,6659.0
49741695,49777682,0,2415.0
49741695,49777696,0,2415.0
49741695,1381307996,0,6659.0
49741703,49741695,0,6659.0
49741703,4975093911,0,2584.0
49741709,49717477,0,6659.0
49741710,49797586,0,14818.0
49741710,633923936,0,6659.0
49741715,49741710,0,6659.0
49741715,49765155,0,11474.0
49741717,49741715,0,6659.0
49741717,49765161,0,7815.0
49741717,49765167,0,7815.0
49741724,49741717,0,3207.0
49741725,49741724,0,3207.0
49741728,49741725,0,3207.0
49741730,49716899,0,10067.0
49741730,49741728,0,3207.0
49741733,49741730,0,3207.0
49741733,49797620,0,17609.0
49741735,49797063,0,3963.0
49741740,49817512,0,4066.0
49741751,49882225,0,2513.0
49741773,49765314,0,6280.0
49741775,49823325,0,6280.0
49741798,49838202,0,1912.0
49741996,647241451,0,18372.0
49741996,2027049957,0,18372.0
49742265,49742208,0,36736.0
49742293,49748623,0,14671.0
49742293,9457052272,0,4423.0
49742300,49744664,0,7719.0
49742300,647594359,0,13856.0
49742308,49721281,0,4286.0
49742316,49741023,0,4286.0
49742316,49742320,0,4286.0
49742320,49744676,0,3000.0
49742331,49742320,0,4286.0
49742331,49742335,0,4286.0
49742335,49742338,0,4286.0
49742335,49767391,0,4572.0
49742338,49744817,0,2847.0
49742338,49795377,0,2847.0
49742344,49742338,0,4286.0
49742352,49742344,0,4286.0
49742352,49742360,0,4286.0
49742360,49742352,0,4286.0
49742360,49742366,0,4286.0
49742360,49768670,0,2144.0
49742360,49768681,0,2144.0
49742366,49742360,0,4286.0
49742366,49742370,0,4286.0
49742388,642701960,0,4286.0
49742418,49758293,0,8366.0
49742428,49758293,0,2334.0
49742444,49765922,0,9437.0
49742454,705647622,0,4597.0
49742473,49726929,0,11315.0
49742473,49732177,0,8245.0
49742616,49774881,0,6854.0
49742705,11608896680,0,3075.0
49742711,49734574,0,15964.0
49742713,49742711,0,15964.0
49742737,49742713,0,15964.0
49742755,49742738,0,15964.0
49742771,49742755,0,15964.0
49742782,49742771,0,15964.0
49742791,49742782,0,15964.0
49742799,49742791,0,15964.0
49742839,49742826,0,15964.0
49742907,49742885,0,15964.0
49742923,49897656,0,15964.0
49743050,647241451,0,30448.0
49743069,49743064,0,10036.0
49743074,49743089,0,6141.0
49743074,3277475100,0,6141.0
49743089,49743074,0,6141.0
49743089,49743092,0,6141.0
49743089,49797236,0,805.0
49743092,49743125,0,6141.0
49743092,49797207,0,367.0
49743125,49743092,0,6141.0
49743165,49743125,0,6141.0
49743214,49743165,0,6141.0
49743216,49763921,0,13507.0
49743223,2921449362,0,6141.0
49743224,49799488,0,4109.0
49743231,49743224,0,15964.0
49743242,49743231,0,15964.0
49743486,9752208331,0,8245.0
49743490,49786622,0,8245.0
49743552,49743561,0,2978.0
49743561,49743563,0,2978.0
49743578,49804074,0,11721.0
49743646,766194328,0,12962.0
49743659,49743646,0,12962.0
49743659,49743669,0,12962.0
49743669,49724285,0,12962.0
49743686,49743717,0,9202.0
49743686,49834986,0,19925.0
49743717,49743760,0,9202.0
49743760,49743812,0,9202.0
49743812,49743760,0,9202.0
49743817,49743812,0,9202.0
49743817,49743824,0,9202.0
49743817,49746854,0,6219.0
49743824,49743825,0,9202.0
49743825,49743847,0,9202.0
49743847,49717599,0,9202.0
49743847,49743825,0,9202.0
49743856,49743851,0,7802.0
49743856,49829439,0,7802.0
49743874,49723087,0,25607.0
49743877,49743874,0,25607.0
49743877,49743887,0,25607.0
49743877,49786622,0,3440.0
49743887,49743889,0,25607.0
49743887,49786637,0,5416.0
49743892,49743889,0,25607.0
49743894,49743892,0,25607.0
49743894,49755306,0,12824.0
49743895,49743894,0,25607.0
49743898,49718775,0,25607.0
49743898,49739286,0,25607.0
49743937,49743941,0,25607.0
49743937,9389248084,0,25607.0
49743941,49743947,0,25607.0
49743951,49743947,0,25607.0
49743955,49743951,0,25607.0
49743955,49743972,0,25607.0
49743972,49743990,0,15055.0
49743972,49755047,0,10886.0
49743994,49743990,0,15055.0
49743994,49744012,0,15055.0
49744012,49744030,0,15055.0
49744030,1496817413,0,15055.0
49744068,49744075,0,15055.0
49744075,49744068,0,15055.0
49744095,49733719,0,15055.0
49744095,49744115,0,15055.0
49744137,49744115,0,15055.0
49744156,640614764,0,15055.0
49744160,49744156,0,15055.0
49744168,49750009,0,10823.0
49744173,49744168,0,12962.0
49744173,1564708943,0,12962.0
49744185,49750009,0,11934.0
49744185,1564708943,0,12962.0
49744199,49744185,0,12962.0
49744199,1484785680,0,12962.0
49744209,49744222,0,12962.0
49744222,49744225,0,12962.0
49744226,49744225,0,12962.0
49744233,49744226,0,12962.0
49744233,49744244,0,12962.0
49744233,49761928,0,15673.0
49744233,4633108826,0,15495.0
49744244,49744252,0,12962.0
49744292,49718798,0,10553.0
49744292,49746174,0,10553.0
49744602,49744587,0,11315.0
49744602,49840739,0,11315.0
49744604,49841801,0,2225.0
49744664,49742300,0,7719.0
49744672,7554685042,0,5432.0
49744686,49744684,0,10545.0
49744688,49744686,0,10545.0
49744691,49763073,0,3125.0
49744693,49852652,0,3080.0
49744693,705647581,0,20982.0
49744814,49744808,0,3339.0
49744817,49744814,0,3339.0
49744817,49763104,0,2847.0
49744825,49744817,0,3339.0
49744832,49744825,0,3339.0
49744836,49744832,0,3339.0
49744836,49763119,0,2144.0
49744836,49768681,0,2144.0
49744841,49744836,0,3339.0
49744842,49744841,0,3339.0
49744848,49738311,0,2676.0
49744848,49744842,0,3339.0
49744848,49746693,0,2676.0
49744850,49744848,0,3339.0
49744854,49744850,0,3339.0
49744858,49739577,0,4470.0
49744867,49744858,0,4470.0
49744867,49758306,0,2334.0
49744895,49744867,0,4470.0
49745094,49820799,0,21177.0
49745106,49761675,0,8356.0
49745129,49796229,0,18804.0
49745161,49832678,0,1985.0
49745188,49745186,0,15975.0
49745188,49764326,0,16075.0
49745188,3995094699,0,16075.0
49745193,49745188,0,15975.0
49745193,49753502,0,10127.0
49745193,49764337,0,10127.0
49745195,49745193,0,15975.0
49745195,49745200,0,15975.0
49745200,49753507,0,3963.0
49745204,49745200,0,15975.0
49745204,49745207,0,15975.0
49745207,49745208,0,15975.0
49745207,49817459,0,4066.0
49745214,49745208,0,15975.0
49745214,49745225,0,15975.0
49745232,49745225,0,15975.0
49745235,49745232,0,15975.0
49745240,49745235,0,15975.0
49745240,49745243,0,12575.0
49745240,49809721,0,22572.0
49745247,49745243,0,12575.0
49745273,49745282,0,12575.0
49745284,49745282,0,12575.0
49745284,49745287,0,12575.0
49745289,49745287,0,12575.0
49745289,49745292,0,12575.0
49745292,49769171,0,4781.0
49745292,13259914865,0,12575.0
49745297,49745301,0,12575.0
49745301,49745297,0,12575.0
49745305,49745301,0,12575.0
49745335,49847837,0,5726.0
49745365,13256237912,0,9494.0
49745370,49745365,0,9751.0
49745374,49715998,0,9751.0
49745374,49745370,0,9751.0
49745377,49715998,0,9751.0
49745381,49745377,0,9751.0
49745384,1443727177,0,7473.0
49745384,3667950082,0,6272.0
49745390,2921295523,0,9751.0
49745397,49745399,0,9751.0
49745407,49745405,0,9751.0
49745413,49745407,0,9751.0
49745413,49745415,0,9751.0
49745417,49745415,0,9751.0
49745417,49745418,0,9751.0
49745418,49745417,0,9751.0
49745418,49745420,0,9751.0
49745421,49745420,0,9751.0
49745421,13556260339,0,9751.0
49745431,13160144145,0,9751.0
49745434,49745431,0,9751.0
49745453,49745451,0,9828.0
49745455,49745453,0,9828.0
49745457,49745455,0,9828.0
49745457,49745459,0,9828.0
49745461,49745459,0,9828.0
